NO. ,FECHA ,YEAR,MONTH,TEMP,SEASON,ADUANA,NOMADUANA,TIPOOPERACION,NOMTIPOOPERACION,PUERTOEMB,GLOSAPUERTOEMB,REGIONORIGEN,GLOSAREGION,TIPOCARGA,NOMTIPOCARGA,VIATRANSP,NOMVIATRANSP,PUERTODESEMB,GLOSAPUERTOEMB,PAISDESTINO,GLOSAPAISDESTINO,PAIS,NOMBRECIATRANSP,PAISCIATRANSP,MONEDA,GLOSAMONEDA,MODALIDADVENTA,GLOSAMODALIDADVENTA,CLAUSULAVENTA,GLOSACLAUSULAVENTA,FORMAPAGO,CLAUFORMAPAGO,VALORCLAUSULAVENTA,COMISIONEXTERIOR,OTROSGASTOS,VALORLIQUIDORETORNO,TOTALITEM,TOTALBULTOS,PESOBRUTOTOTAL,TOTALVALORFOB,VALORFLETE,VALORSEGURO,VALORCIF,NUMEROITEM,NOMBRE,CODIGOARANCEL,GLOSAARANCEL,UNIDADMEDIDA,CANTIDADMERCANCIA,FOBUNITARIO,FOBUS,PESOBRUTOITEM
1,5/6/2009,2009,5,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,492,Hong Kong,342,Hong Kong,Hong Kong,Lan Chile,997,13,Dólar,1,Firme,2,CFR,1,COB1,36480,0,3879.66,32600.34,1,55,908,32600.34,3879.66,0,0,1,"906000815       ~ langostas vivas~ landes-f~ chilena, de juan fernandez~ jasus frontalis",3061120,Langosta viva,6,760,42.895184,32600.34,908
2,6/2/2009,2009,6,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,Lan Chile,997,142,Euro,1,Firme,2,CFR,1,COB1,10627.95,0,1401.84,9226.11,1,33,392,9226.11,1401.84,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,300,30.7537,9226.11,392
3,6/10/2009,2009,6,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,Lan Chile,997,142,Euro,1,Firme,2,CFR,1,COB1,15004.17,0,1838.4,13165.77,1,44,520,13165.77,1838.4,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,400,32.914425,13165.77,520
4,6/25/2009,2009,6,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,Lan Chile,997,142,Euro,1,Firme,2,CFR,1,COB1,15004.17,0,1838.4,13165.77,1,44,520,13165.77,1838.4,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,400,32.914425,13165.77,520
5,7/7/2009,2009,7,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,134,New York,225,U.S.A.,USA,Delta Airlines,225,13,Dólar,1,Firme,1,CIF,74,ANT/COB,11113,0,1548.65,9564.35,1,38,408,9564.35,1488,60.65,11113,1,sin-codigo      ~ langostas vivas~ costa viva-f~ jasus frontalis~ de juan fernandez,3062120,Langosta viva,6,327.39,29.213934,9564.35,408
6,7/7/2009,2009,7,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,1,CIF,74,ANT/COB,11999.72,0,1787.76,10211.96,1,40,430,10211.96,1738.2,49.56,11999.72,1,sin-codigo      ~ langostas vivas~ costa viva-f~ jasus frontalis~ de juan fernandez,3062120,Langosta viva,6,350,29.177029,10211.96,430
7,7/28/2009,2009,7,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,Lan Chile,997,142,Euro,1,Firme,2,CFR,1,COB1,15673.1,0,1838.4,13834.7,1,44,520,13834.7,1838.4,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,400,34.58675,13834.7,520
8,10/21/2009,2009,10,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,Lan Chile,997,142,Euro,1,Firme,2,CFR,1,COB1,17523.36,0,1838.4,15684.96,1,44,520,15684.96,1838.4,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,400,39.2124,15684.96,520
9,1/3/2009,2009,1,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,A Argent.,224,142,Euro,1,Firme,2,CFR,1,COB1,21911.22,0,1330.38,20580.84,1,55,640,20580.84,1330.38,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,500,41.16168,20580.84,640
10,1/3/2009,2009,1,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,Aerolineas Argentinas,224,142,Euro,1,Firme,2,CFR,1,COB1,21911.22,0,1382.38,20528.84,1,55,666,20528.84,1382.38,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,500,41.05768,20528.84,666
11,1/5/2009,2009,1,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,36415.04,0,4017.52,32397.52,1,88,968,32397.52,4017.52,0,0,1,sin-codigo      langosta de juan fernandez~ v&s-f~ jasus frontalis cal.650-800g rs~ vivas,3062120,Langosta viva,6,800,40.4969,32397.52,968
12,1/5/2009,2009,1,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,10794.46,0,1244.32,9550.14,1,25,288,9550.14,1244.32,0,0,1,sin-codigo      langosta de juan fernandez~ v&s-f~ jasus frontalis cal.650-800g rs~ vivas,3062120,Langosta viva,6,230,41.522348,9550.14,288
13,1/7/2009,2009,1,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,13189.14,0,1533.52,11655.62,1,32,368,11655.62,1533.52,0,0,1,sin-codigo       ~ langostas vivas ~ costa viva-f~ jasus frontalis ~ calibre 600-up gramos cada una ~ vivasenteras  ~ para el cosumo humano,3062120,Langosta viva,6,300,38.852067,11655.62,368
14,1/12/2009,2009,1,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,561,Otros Puertos de España No Especificados,517,España,Spain,Lan Chile,997,142,Euro,1,Firme,2,CFR,1,COB1,9450,0,871.2,8578.8,1,33,396,8578.8,871.2,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,300,28.596,8578.8,396
15,1/23/2009,2009,1,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,Lan Chile,997,142,Euro,1,Firme,2,CFR,1,COB1,13463.7,0,1764.4,11699.3,1,36,440,11699.3,1764.4,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,330,35.452424,11699.3,440
16,1/29/2009,2009,1,2008-2009,2008,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,11522.23,0,1366.8,10155.43,1,29,320,10155.43,1366.8,0,0,1,sin-codigo      langosta de juan fernandez~ v&s-f~ jasus frontalis calibre 650-800grs~ vivas,3062120,Langosta viva,6,260,39.059346,10155.43,320
17,11/1/2009,2009,11,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,4,Coquimbo,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Tam Airlines,220,142,Euro,1,Firme,2,CFR,1,COB1,16723.6,0,2611.2,14112.4,3,111,1434,14112.4,2611.2,0,0,3,"sin-codigo       ~ langostas vivas ~ daniel andrepierre touret,exp.comerc.y ases.e.i.r.l.-f ~ jasus frontali s ~ calibre 750-up gramos ~en teras ~ para consumo humano",3062120,Langosta viva,6,99.99,37.860886,3785.71,108
18,11/4/2009,2009,11,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,541,Otros Puertos de Italia No Especificados,504,Italia,Italy,Lan Chile,997,142,Euro,1,Firme,2,CFR,1,COB1,17652.25,0,1838.4,15813.85,1,44,520,15813.85,1838.4,0,0,1,sin-codigo      ~ langostas vivas~ c.p.del mar -f~ jasus frontalis~ destinadas al consumo humano,3062120,Langosta viva,6,400,39.534625,15813.85,520
19,12/1/2009,2009,12,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,492,Hong Kong,342,Hong Kong,Hong Kong,Lan Chile,997,13,Dólar,1,Firme,2,CFR,1,COB1,27378.24,0,3315.8,24062.44,1,53,844,24062.44,3315.8,0,0,1,"906000815       ~ langostas vivas~ landes-f~ chilena, de juan fernandez~ jasus frontalis",3061120,Langosta viva,6,718.94,33.46933,24062.44,844
20,12/1/2009,2009,12,2009-2010,2009,48,Metropolitana,200,Exportación normal,992,AEROP.A.M.BENITEZ,5,Valparaíso,R,General,4,Aéreo,551,Otros Puertos de Francia No Especificados,505,Francia,France,Air France,505,142,Euro,1,Firme,2,CFR,1,COB1,12503.68,0,1806,10697.68,1,28,328,10697.68,1806,0,0,1,sin-codigo      langosta de juan fernandez~ boutons france-f~ jasus frontalis sin calibre~ vivas,3062120,Langosta viva,6,250,42.79072,10697.68,328
