Year,MID_LATITUDE,SEX,LENGTH,CLUTCH_SIZE
1981,57.00334,2,111,6
1981,57.329,2,96,1
1981,57.66992,2,112,6
1981,57.66992,2,107,0
1981,57.66992,2,107,6
1981,57.66992,2,104,6
1981,57.66992,2,105,6
1981,57.67175,2,125,6
1981,57.67175,2,108,6
1981,57.67175,2,104,6
1981,57.67175,2,95,0
1981,57.67175,2,102,1
1981,57.67175,2,96,0
1981,57.67175,2,105,1
1981,57.67175,2,89,0
1981,57.67175,2,93,0
1981,58.0035,2,85,0
1981,57.66992,2,96,0
1981,57.66992,2,91,0
1981,57.66992,2,102,0
1981,57.66992,2,94,0
1981,57.682,2,98,1
1981,57.33534,2,126,6
1981,57.33534,2,103,6
1981,57.33534,2,124,1
1981,57.33534,2,127,1
1981,57.33534,2,109,6
1981,57.33534,2,112,1
1981,57.33534,2,128,1
1981,57.33534,2,125,6
1981,57.33534,2,121,1
1981,57.33534,2,149,6
1981,57.33534,2,121,1
1981,57.33534,2,142,1
1981,57.33534,2,111,6
1981,57.33534,2,109,1
1981,57.33534,2,120,1
1981,57.33534,2,106,6
1981,57.33534,2,107,6
1981,57.35125,2,98,6
1981,57.35125,2,125,6
1981,57.35125,2,108,1
1981,57.35125,2,74,0
1981,57.35125,2,108,6
1981,57.35125,2,105,1
1981,57.35125,2,107,6
1981,57.35125,2,122,6
1981,57.35125,2,97,6
1981,57.35125,2,94,1
1981,57.35125,2,106,1
1981,57.35125,2,97,6
1981,57.35125,2,102,6
1981,57.35125,2,97,6
1981,57.35125,2,113,6
1981,57.35125,2,95,1
1981,57.00659,2,118,6
1981,57.00309,2,131,1
1981,57.00309,2,132,1
1981,57.00309,2,123,1
1981,57.00309,2,140,1
1981,57.00309,2,134,1
1981,57.00309,2,128,1
1981,57.00309,2,120,6
1981,57.00309,2,112,1
1981,57.00309,2,131,1
1981,57.00309,2,110,1
1981,57.00309,2,128,1
1981,57.00309,2,136,1
1981,57.00309,2,134,1
1981,57.00309,2,125,1
1981,57.00309,2,89,1
1981,57.00309,2,117,1
1981,57.00309,2,121,1
1981,57.00309,2,128,1
1981,57.00309,2,124,1
1981,57.00309,2,125,1
1981,57.00309,2,123,1
1981,57.00309,2,140,1
1981,57.00309,2,144,1
1981,57.00309,2,130,1
1981,57.00309,2,137,1
1981,57.00309,2,108,1
1981,57.00309,2,152,1
1981,57.00309,2,132,1
1981,57.00309,2,130,1
1981,57.00309,2,140,1
1981,57.00309,2,136,1
1981,57.00309,2,115,1
1981,57.00309,2,121,1
1981,57.00309,2,119,1
1981,57.00309,2,148,1
1981,57.00309,2,130,1
1981,57.00309,2,110,6
1981,57.00309,2,139,1
1981,57.00309,2,141,6
1981,57.00309,2,106,1
1981,57.00309,2,127,1
1981,57.00309,2,109,6
1981,57.00309,2,128,1
1981,57.00309,2,111,1
1981,57.00309,2,136,6
1981,57.00309,2,137,6
1981,57.00309,2,139,1
1981,57.00309,2,132,1
1981,57.00309,2,117,1
1981,57.00309,2,140,1
1981,57.00309,2,130,1
1981,57.00309,2,146,1
1981,57.00309,2,131,1
1981,57.00309,2,118,6
1981,57.00309,2,116,6
1981,57.00309,2,141,1
1981,57.00309,2,150,1
1981,56.99584,2,124,1
1981,56.99584,2,88,0
1981,56.99584,2,102,0
1981,56.99584,2,138,6
1981,56.99584,2,130,1
1981,56.99584,2,118,6
1981,56.99584,2,123,1
1981,56.99584,2,118,1
1981,56.99584,2,102,1
1981,56.99584,2,114,1
1981,56.99584,2,143,1
1981,56.99584,2,134,1
1981,56.99584,2,127,1
1981,56.99584,2,115,6
1981,56.99584,2,85,0
1981,56.99584,2,112,1
1981,56.99584,2,131,1
1981,56.99584,2,135,1
1981,56.99584,2,120,1
1981,56.99584,2,121,6
1981,56.99584,2,103,0
1981,56.99584,2,121,6
1981,56.99584,2,126,1
1981,56.99584,2,124,1
1981,56.99584,2,126,1
1981,56.99584,2,126,1
1981,56.99584,2,127,1
1981,56.99584,2,122,1
1981,56.99584,2,139,1
1981,56.99584,2,109,1
1981,56.99584,2,117,1
1981,56.99584,2,138,1
1981,56.99584,2,91,0
1981,56.99584,2,130,1
1981,56.99584,2,86,0
1981,56.99584,2,116,1
1981,56.99584,2,117,6
1981,56.99584,2,110,1
1981,56.99584,2,130,1
1981,56.99584,2,114,1
1981,56.99584,2,126,1
1981,56.99584,2,112,1
1981,56.99584,2,128,1
1981,56.99584,2,127,1
1981,56.99584,2,126,1
1981,56.99584,2,120,1
1981,56.99584,2,127,6
1981,57.32367,2,82,0
1981,57.33367,2,119,6
