Year,MID_LATITUDE,SEX,LENGTH,CLUTCH_SIZE
1981,60.34192,2,89,2
1981,60.34192,2,86,5
1981,60.67675,2,90,1
1981,60.66558,2,106,6
1981,61.00358,2,107,1
1981,61.00358,2,99,6
1981,59.99442,2,81,0
1981,60.0035,2,97,6
1981,60.00334,2,74,0
1981,60.00334,2,88,0
1981,60.00334,2,999,0
1981,60.00334,2,79,0
1981,60.00334,2,80,0
1981,59.99567,2,85,0
1981,59.99567,2,78,0
1981,59.99567,2,90,1
1983,60.17167,2,93,1
1983,60.17167,2,21,0
1983,60.17167,2,91,1
1983,60.17167,2,81,1
1983,60.17167,2,15,0
1983,60.17167,2,19,0
1983,60.17167,2,88,1
1983,60.17167,2,93,1
1983,60.17167,2,89,1
1983,60.17167,2,100,1
1983,60.17167,2,97,1
1983,60.17167,2,94,1
1983,60.17167,2,108,1
1983,60.17167,2,94,1
1983,60.17167,2,80,0
1983,60.17167,2,82,0
1983,60.17167,2,86,1
1983,60.17167,2,89,1
1983,60.17167,2,86,1
1983,60.17167,2,91,1
1983,60.17167,2,87,1
1983,60.17167,2,82,1
1983,60.17167,2,84,1
1983,60.17167,2,21,0
1983,60.17167,2,84,1
1983,60.17167,2,88,1
1983,60.17167,2,84,1
1984,59.00342,2,116,5
1984,60.1705,2,10,0
1984,60.1705,2,77,0
1984,60.1705,2,13,0
1984,60.1705,2,88,1
1984,60.1705,2,96,1
1984,60.1705,2,73,0
1984,60.1705,2,19,0
1984,60.1705,2,94,1
1984,60.1705,2,87,1
1984,60.1705,2,70,0
1984,60.1705,2,101,1
1984,60.1705,2,15,0
1984,60.1705,2,99,1
1984,60.1705,2,95,5
1984,60.1705,2,70,0
1984,60.1705,2,20,0
1984,60.1705,2,85,0
1984,60.1705,2,96,1
1984,60.1705,2,108,1
1984,60.1705,2,97,1
1984,60.66634,2,120,6
1979,61.45834,2,82,4
1982,60.37725,2,68,0
1982,60.37725,2,77,0
1982,60.37725,2,74,0
1982,60.37725,2,80,0
1982,60.37725,2,66,0
1982,60.37725,2,74,0
1982,60.37725,2,66,0
1982,60.37725,2,65,0
1982,60.37725,2,68,0
1982,60.37725,2,79,0
1982,60.37725,2,77,0
1982,60.37725,2,56,0
1982,60.37725,2,62,0
1982,60.37725,2,87,0
1982,60.37725,2,66,0
1982,60.64617,2,82,0
1982,60.64617,2,80,0
1982,60.31308,2,91,0
1982,60.31308,2,82,0
1982,60.31308,2,100,0
1982,60.31308,2,100,0
1982,60.31308,2,82,0
1982,60.31308,2,91,0
1982,60.31308,2,91,0
1982,60.31684,2,111,6
1982,61.32884,2,88,6
1982,61.3355,2,103,6
1982,61.3355,2,99,6
1987,60.33408,2,89,1
1987,60.16959,2,81,0
1987,60.16959,2,68,0
1987,60.16959,2,72,0
1987,60.16959,2,72,0
1987,60.16959,2,66,0
1987,60.16959,2,62,0
1987,60.16959,2,68,0
1987,60.16959,2,69,0
1987,60.16959,2,70,0
1987,60.16959,2,88,0
1987,60.16959,2,61,0
1987,60.16959,2,73,0
1987,60.01392,2,90,0
1987,60.01392,2,79,0
1987,59.83809,2,74,0
1987,59.34975,2,92,6
1978,60.35167,2,999,9
1978,60.68167,2,82,0
1978,60.68167,2,78,0
1978,60.68167,2,82,0
1978,60.68167,2,74,0
1978,60.68167,2,69,0
1978,60.67084,2,78,0
1978,60.67084,2,66,0
1978,60.67084,2,69,0
1978,60.67084,2,68,0
1978,60.67084,2,84,0
1978,60.67084,2,48,0
1978,60.67084,2,72,0
1978,60.67084,2,999,0
1978,60.67084,2,79,0
1978,60.67084,2,78,0
1978,60.67084,2,76,0
1978,60.67084,2,71,0
1978,60.67084,2,80,0
1978,60.97917,2,107,6
1978,60.00167,2,59,0
1978,60.00167,2,75,0
1978,60.00167,2,84,6
1978,60.00167,2,88,0
1978,60.00167,2,74,0
1978,60.00167,2,72,0
1978,60.0025,2,74,0
1978,60.0025,2,77,0
1978,60.0025,2,85,0
1979,60.3275,2,82,2
1979,60.3275,2,999,1
1979,60.3275,2,100,2
1979,60.3275,2,108,2
1979,60.3275,2,88,1
1979,60.3275,2,98,2
1979,60.3275,2,100,2
1979,60.3275,2,78,1
1979,60.3275,2,72,1
1979,60.3275,2,94,2
1979,60.3275,2,83,2
1979,60.3275,2,76,2
1979,60.3275,2,78,1
1979,60.3275,2,89,2
1979,60.3275,2,86,2
1979,60.3275,2,88,1
1979,60.3275,2,86,2
1979,60.3275,2,105,2
1979,60.3275,2,84,2
1979,60.3275,2,106,2
1979,60.3275,2,84,2
1979,60.3275,2,74,1
1979,60.3275,2,82,2
1979,60.3275,2,96,2
1979,60.3275,2,82,6
1979,60.3275,2,110,2
1979,60.3275,2,93,2
1979,60.3275,2,93,2
1979,60.3275,2,81,1
1979,60.3275,2,100,2
1979,60.3275,2,83,2
1979,60.3275,2,83,2
1979,60.3275,2,72,1
1979,60.3275,2,72,1
1979,60.3275,2,77,1
1979,60.3275,2,91,2
1979,60.3275,2,101,2
1979,60.3275,2,89,2
1979,60.3275,2,83,2
1979,60.3275,2,104,2
1979,60.65083,2,63,1
1979,60.65083,2,86,1
1979,60.65083,2,83,2
1979,60.65083,2,58,1
1979,60.33917,2,60,1
1979,60.33917,2,95,2
1979,60.33917,2,104,2
1979,60.33917,2,104,2
1979,60.33917,2,73,1
1979,60.33917,2,78,1
1979,60.33917,2,70,1
1979,60.33917,2,83,1
1979,59.99333,2,116,2
1980,59.3455,2,123,6
1980,60.32025,2,999,0
1980,60.32025,2,78,0
1980,60.32025,2,999,0
1980,60.32025,2,62,0
1980,60.32025,2,72,0
1980,60.32025,2,999,0
1980,60.32025,2,83,6
1980,60.32025,2,52,0
1980,60.661,2,84,1
1980,60.661,2,85,1
1980,61.32292,2,999,0
1980,61.00667,2,92,0
1980,61.00833,2,90,6
1980,60.98125,2,83,0
1980,60.66767,2,84,0
1980,60.33367,2,92,6
1980,60.32783,2,98,1
1980,60.32783,2,110,1
1980,60.32783,2,70,0
1980,60.32783,2,82,6
1980,60.32783,2,84,0
1980,60.32783,2,96,1
1980,60.32783,2,999,0
1980,60.32783,2,49,0
1980,60.32783,2,96,0
1980,60.32783,2,99,1
1980,60.32783,2,65,0
1980,60.32783,2,87,1
1980,60.32783,2,83,1
1980,60.32783,2,90,1
1980,60.32783,2,85,1
1980,60.32783,2,83,1
1980,60.32783,2,89,0
1980,60.32783,2,82,0
1980,60.32783,2,83,1
1980,60.32783,2,97,1
1980,60.32783,2,79,0
1980,60.32783,2,95,1
1980,60.32783,2,999,0
1980,60.32783,2,85,1
1980,60.32783,2,80,6
1980,60.32783,2,82,1
1980,60.32783,2,78,0
1980,60.32783,2,51,0
1980,60.32783,2,84,1
1980,60.32783,2,85,1
1980,60.32783,2,82,1
1980,60.32783,2,86,0
1980,60.32783,2,95,1
1980,60.32783,2,75,1
1980,60.32783,2,81,0
1980,60.32783,2,76,0
1980,60.32783,2,95,1
1980,60.32783,2,63,0
1980,60.32783,2,55,0
1980,60.32783,2,108,1
1980,60.32783,2,75,0
1980,60.32783,2,99,1
1980,59.65208,2,90,4
1980,59.65208,2,79,0
1980,59.65208,2,109,6
1983,60.01908,2,90,6
1983,60.19975,2,85,0
1983,60.19975,2,69,0
1983,60.19975,2,83,0
1983,60.19975,2,98,1
1983,60.345,2,84,1
1983,60.345,2,90,1
1983,60.345,2,97,2
1983,60.345,2,107,1
1983,60.345,2,75,0
1983,60.345,2,96,1
1983,60.345,2,97,1
1983,60.345,2,91,1
1983,60.345,2,98,1
1983,60.345,2,84,1
1983,60.345,2,91,1
1983,60.345,2,85,1
1983,60.345,2,107,1
1983,60.345,2,95,1
1983,60.345,2,102,1
1983,60.345,2,106,1
1983,60.345,2,107,1
1983,60.345,2,110,1
1983,60.345,2,97,1
1983,60.345,2,88,1
1983,60.345,2,107,1
1983,60.345,2,97,1
1983,60.345,2,100,1
1983,60.345,2,87,1
1983,60.345,2,100,1
1983,60.345,2,100,1
1983,60.345,2,99,1
1983,60.345,2,85,1
1983,60.345,2,91,1
1983,60.345,2,104,1
1983,60.345,2,103,1
1983,60.345,2,99,1
1983,60.345,2,86,1
1983,60.345,2,86,1
1983,60.345,2,92,1
1983,60.345,2,98,1
1983,60.345,2,96,1
1983,60.345,2,98,1
1983,60.345,2,98,1
1983,60.345,2,87,1
1983,60.345,2,89,1
1983,60.345,2,87,1
1983,60.345,2,114,1
1983,60.345,2,88,1
1983,60.345,2,100,1
1983,60.345,2,86,1
1983,60.345,2,99,1
1983,60.345,2,98,1
1983,60.345,2,78,1
1983,60.345,2,86,1
1983,60.67884,2,100,1
1983,60.67884,2,104,1
1984,60.34492,2,100,1
